"","SampleID","InitialTemp","FinalTemp","Volume","TrayNum","deltaSAWt","InitBW","FinalBW","DeltaBW","DeltaBW_all","pcDeltaBW","TrayWt","DW","AW","AFDW","pcAFDW","SA","Nuts","Tank","Aq_Ex1","Aq_Ex2"
"1",301,26.419,24.462,85,113,10.8703,79.1554679627358,78.7662045005966,-0.389263462139184,-0.389263462139184,-0.0049177077990675,3.1348,83.0352,79.8504,3.1848,0.0383548181975836,239.853805252231,"Ambient","Mid",15,51
"2",302,26.389,24.481,80,129,8.495,87.2545306930815,87.7251611834427,0.47063049036116,0.47063049036116,0.00539376564887623,3.13132,92.34868,89.40898,2.9397,0.0318326152577384,284.616857949433,"Ambient","Mid",15,50
"3",303,26.384,24.481,75,124,7.894,76.3050267901209,75.3081467155892,-0.996880074531717,-0.996880074531717,-0.0130644089448217,2.85795,79.92205,76.81115,3.1109,0.0389241767447156,315.158380450834,"Ambient","Mid",15,49
"4",304,26.363,24.47,80,109,10.5615,80.2107283645115,78.8461954954023,-1.36453286910918,-1.36453286910918,-0.0170118498726027,2.83216,83.01784,79.71054,3.3073,0.0398384250903179,572.958796567149,"Ambient","Mid",15,52
"5",305,26.362,24.453,80,107,11.2589,78.3540198668086,78.780048683843,0.42602881703445,0.42602881703445,0.00543722986719305,2.90468,82.97532,79.60672,3.3686,0.040597613844695,379.022819019289,"Ambient","Near",3,40
"6",306,26.373,24.447,80,131,7.0833,81.5198082269678,81.2889867820866,-0.230821444881215,-0.230821444881215,-0.00283147678952533,3.07479,85.61521,82.57631,3.03889999999998,0.0354948612518732,325.319572718207,"Ambient","Near",3,38
"7",307,26.367,24.442,80,121,6.0051,79.6446401136746,78.8754217462184,-0.769218367456119,-0.769218367456119,-0.00965813099736825,2.7864,83.1436,80.3976,2.74600000000001,0.0330271963205828,452.816667057977,"Ambient","Near",3,39
"8",308,26.363,24.411,75,123,7.0657,75.562034942239,74.6666803778867,-0.895354564352274,-0.895354564352274,-0.0118492648462512,2.64898,79.36102,75.74072,3.6203,0.0456181132752578,466.0034526237,"Ambient","Near",3,37
"9",309,26.374,25.062,80,127,8.0336,78.6616770878936,78.9677433392014,0.306066251307826,0.306066251307826,0.00389091947487769,2.85953,83.05047,79.61897,3.4315,0.0413182490117154,585.218450944321,"Ambient","Far",27,64
"10",310,26.414,25.063,75,103,13.843,80.3368696957273,80.7936849664137,0.456815270686363,0.456815270686363,0.00568624683058392,2.63813,84.55187,81.10467,3.4472,0.0407702396174088,437.138216423026,"Ambient","Far",27,63
"11",311,26.378,25.047,75,128,13.7543,79.0662458697213,79.3476985710351,0.281452701313768,0.281452701313768,0.00355970741013203,2.95906,83.13094,79.84094,3.29000000000001,0.0395761193124967,395.251753797442,"Ambient","Far",27,61
"12",312,26.4,25.05,75,135,8.1007,77.9648355777744,84.5209434410086,NA,6.55610786323413,NA,2.6378,82.6522,78.9057,3.74650000000001,0.0453284970031047,257.986670149729,"Ambient","Far",27,62
