Date,Time,Temperature (F),Wind Speed (mph),Wind Direction,Max Wind Gust (mph),Avg Solar Rad (Cal/cm2/min),Avg Quantum (uE/sec/m2),Water Temp (F),Rainfall (In)
10/15/15,1:00:00,25.7,11.1,15,14.99,0,0,26.1,0
10/15/15,2:00:00,25.2,9.7,33,15.15,0,0,26,0
10/15/15,3:00:00,24.5,4.28,45,11.29,0,0,26,0.01
10/15/15,4:00:00,23.9,4.13,194,11.49,0,0,26.1,0
10/15/15,5:00:00,23.3,4.58,201,8.9,0,0,26.2,0.05
10/15/15,6:00:00,23,2.74,216,6.99,0,0,26.1,0.39
10/15/15,7:00:00,22.9,1.96,218,5.11,0,5,26.1,0.05
10/15/15,8:00:00,23.2,1.84,208,5.72,0.013,58,26.1,0.08
10/15/15,9:00:00,23.5,3.62,202,8.46,0.079,180,26,0.04
10/15/15,10:00:00,23.8,2.13,213,4.98,0.082,190,26,0.05
10/15/15,11:00:00,25.4,11.65,358,17.62,0.197,332,26,0.01
10/15/15,12:00:00,25.9,14.43,1,17.45,0.219,356,25.9,0
10/15/15,13:00:00,26,13.15,5,16.29,0.309,452,25.9,0
10/15/15,14:00:00,26.1,12.67,3,16.11,0.57,729,25.8,0
10/15/15,15:00:00,26.1,13.33,1,16.35,0.782,942,25.8,0
10/15/15,16:00:00,26,13.14,9,16.42,0.485,627,25.9,0
10/15/15,17:00:00,25.9,13.31,10,16.7,0.075,183,25.9,0
10/15/15,18:00:00,25.7,12.26,11,15.45,0,32,25.9,0
10/15/15,19:00:00,25.7,10.69,9,14.51,0,0,25.9,0
10/15/15,20:00:00,25.7,9.66,5,12.47,0,0,25.8,0
10/15/15,21:00:00,25.7,10.41,1,13.83,0,0,25.7,0
10/15/15,22:00:00,25.7,10.77,359,14.45,0,0,25.6,0
10/15/15,23:00:00,25.7,9.9,3,13.26,0,0,25.3,0
10/15/15,24:00:00,25.6,10.58,5,14.97,0,0,25.1,0
10/16/15,1:00:00,25,9.41,359,15.96,0,0,24.9,0
10/16/15,2:00:00,25.5,10.63,0,13.9,0,0,24.9,0
10/16/15,3:00:00,25,9.33,4,14.62,0,0,25,0.01
10/16/15,4:00:00,23.8,2.62,267,7.89,0,0,25.1,0.01
10/16/15,5:00:00,23.8,2.3,239,7.28,0,0,25.5,0.03
10/16/15,6:00:00,24,2.09,218,7.52,0,0,25.6,0
10/16/15,7:00:00,24,1.84,230,3.88,0,1,25.7,0
10/16/15,8:00:00,24.6,6.81,22,14.42,0.034,94,25.5,0.01
10/16/15,9:00:00,25.2,8.38,5,12.01,0.313,436,25.2,0
10/16/15,10:00:00,25.5,9.81,359,13,0.221,349,25.3,0
10/16/15,11:00:00,25.7,12.72,4,15.52,0.584,742,25.4,0
10/16/15,12:00:00,25.9,12.37,9,15.8,0.82,994,25.6,0
10/16/15,13:00:00,26.1,11.95,352,15.19,0.843,1032,25.7,0
10/16/15,14:00:00,26.4,10.92,6,14.03,0.827,1004,25.9,0
10/16/15,15:00:00,26.1,10.09,358,16.29,0.412,562,26,0
10/16/15,16:00:00,26.4,12.3,21,15.87,0.206,334,26.1,0
10/16/15,17:00:00,26.4,9.17,31,15.85,0.079,180,26.3,0
10/16/15,18:00:00,26.5,9.19,21,12.91,0.003,34,26.4,0
10/16/15,19:00:00,26.6,9.51,20,12.45,0,0,26.7,0
10/16/15,20:00:00,26.6,7.32,22,11.03,0,0,26.9,0
10/16/15,21:00:00,26.7,10.11,23,13.74,0,0,26.8,0
10/16/15,22:00:00,26.8,11.28,38,16.05,0,0,26.5,0
10/16/15,23:00:00,26.8,8.67,30,12.76,0,0,26.2,0
10/16/15,24:00:00,26.6,10.54,21,15.45,0,0,26.1,0
10/17/15,1:00:00,26.1,11.19,19,16.4,0,0,26.1,0
10/17/15,2:00:00,26.3,12.06,32,15.83,0,0,26.1,0
10/17/15,3:00:00,26,9.73,28,13.31,0,0,26,0
10/17/15,4:00:00,26.3,9.78,36,15.74,0,0,26.1,0.03
10/17/15,5:00:00,26.3,12.3,32,16.94,0,0,25.9,0
10/17/15,6:00:00,26.4,9.77,31,13.83,0,0,25.9,0
10/17/15,7:00:00,26.4,9.15,31,13.85,0,11,26,0
10/17/15,8:00:00,26.8,7.33,43,11.11,0.057,143,25.9,0
10/17/15,9:00:00,27.1,9.46,54,12.52,0.276,398,26,0
10/17/15,10:00:00,27.2,10.61,51,15.59,0.305,439,26.1,0
10/17/15,11:00:00,27.2,11.37,39,15.94,0.327,477,26.2,0
10/17/15,12:00:00,27.4,13.38,48,19.38,0.923,1109,26.4,0
10/17/15,13:00:00,27.3,12.77,42,18.94,0.52,690,26.5,0
10/17/15,14:00:00,27.2,12.53,48,18.79,0.602,774,26.5,0
10/17/15,15:00:00,27.3,12.53,39,16.11,0.276,415,26.6,0
10/17/15,16:00:00,27.2,11.99,36,17.47,0.15,272,26.7,0
10/17/15,17:00:00,27.2,11.2,35,17.65,0.046,138,26.8,0
10/17/15,18:00:00,27.2,11.23,49,15.48,0,21,26.8,0
10/17/15,19:00:00,27.1,12.15,44,18.48,0,0,26.8,0
10/17/15,20:00:00,27.2,12.65,43,18.37,0,0,26.9,0
10/17/15,21:00:00,27.2,14.14,47,19.07,0,0,26.7,0
10/17/15,22:00:00,27.2,14.3,55,18.74,0,0,26.6,0
10/17/15,23:00:00,27.1,11.91,56,16.02,0,0,26.6,0
10/17/15,24:00:00,27,12.42,63,16.02,0,0,26.7,0
10/18/15,1:00:00,27,11.73,72,16.02,0,0,26.5,0
10/18/15,2:00:00,26.9,10.21,73,15.48,0,0,26.6,0
10/18/15,3:00:00,26.8,9.83,67,13.61,0,0,26.8,0
10/18/15,4:00:00,26.8,10.34,65,13.48,0,0,26.8,0
10/18/15,5:00:00,26.7,9.9,69,14.71,0,0,26.7,0
10/18/15,6:00:00,26.8,9.52,63,13.26,0,0,26.6,0
10/18/15,7:00:00,26.8,9.75,69,15.8,0.003,21,26.6,0
10/18/15,8:00:00,26.9,9.94,75,15.69,0.173,266,26.6,0
10/18/15,9:00:00,27.1,11.83,70,15.17,0.404,541,26.7,0
10/18/15,10:00:00,27.1,12.05,68,15.8,0.564,718,26.7,0
10/18/15,11:00:00,27.2,13.81,68,17.21,0.772,942,26.7,0
10/18/15,12:00:00,27.3,13.68,70,17.29,1.148,1336,26.7,0
10/18/15,13:00:00,27.3,13.19,72,17.12,1.243,1434,26.8,0
10/18/15,14:00:00,27.3,10.67,68,14.34,0.962,1139,26.8,0
10/18/15,15:00:00,27.3,10.41,64,14.4,1.037,1202,26.9,0
10/18/15,16:00:00,27.2,9.07,67,13.13,0.668,811,26.9,0
10/18/15,17:00:00,27,9.19,67,12.8,0.145,252,27,0
10/18/15,18:00:00,26.9,8.82,61,11.79,0.013,61,27,0
10/18/15,19:00:00,26.8,8.53,48,11.53,0,0,27,0
10/18/15,20:00:00,26.7,7.51,42,11.07,0,0,27,0
10/18/15,21:00:00,26.6,7.37,31,10.39,0,0,27,0
10/18/15,22:00:00,26.6,8.5,35,11.68,0,0,27,0
10/18/15,23:00:00,26.5,7.79,45,11,0,0,27,0
10/18/15,24:00:00,26.5,8.01,35,12.85,0,0,27,0
10/19/15,1:00:00,26.4,8.18,41,11.71,0,0,27,0
10/19/15,2:00:00,26.3,7.97,42,11.22,0,0,27,0
10/19/15,3:00:00,26.3,9.01,36,11.99,0,0,27,0
10/19/15,4:00:00,26.1,7.94,35,11.86,0,0,27,0
10/19/15,5:00:00,26,7.39,43,10.15,0,0,27,0
10/19/15,6:00:00,26,6.89,46,9.82,0,0,27,0
10/19/15,7:00:00,26.1,6.95,44,11.05,0.002,16,27,0
10/19/15,8:00:00,26.6,6.8,45,11.29,0.178,262,26.9,0
10/19/15,9:00:00,26.7,8.83,60,14.18,0.399,518,26.9,0
10/19/15,10:00:00,26.9,9.69,59,13.37,0.804,946,26.9,0
10/19/15,11:00:00,27.1,9.63,62,13.83,1.128,1278,26.8,0
10/19/15,12:00:00,27.1,8.19,62,13,0.954,1103,26.8,0
10/19/15,13:00:00,27.2,6.24,61,10.57,1.13,1284,26.8,0
10/19/15,14:00:00,27.2,7.17,35,10.83,1.032,1182,26.8,0
10/19/15,15:00:00,27,7.95,17,12.03,0.337,472,26.9,0
10/19/15,16:00:00,27.2,9.34,32,13.22,0.368,492,27.1,0
10/19/15,17:00:00,27.1,11.04,21,14.8,0.264,365,27.2,0
10/19/15,18:00:00,27,9.59,29,12.69,0,45,27.1,0
10/19/15,19:00:00,26.9,10.07,14,12.6,0,0,27.2,0
10/19/15,20:00:00,26.8,9.26,26,13.59,0,0,27.2,0
10/19/15,21:00:00,26.7,12.3,25,16.79,0,0,27.2,0
10/19/15,22:00:00,26.6,12.55,26,18.68,0,0,27.1,0
10/19/15,23:00:00,26.5,9.41,19,12.85,0,0,27.1,0
10/19/15,24:00:00,26.4,8.83,5,11.29,0,0,27.1,0
10/20/15,1:00:00,25.8,9.93,8,17.45,0,0,27.1,0.02
10/20/15,2:00:00,25.5,7.14,4,10.85,0,0,27.1,0.03
10/20/15,3:00:00,25.4,7.51,33,15.41,0,0,27,0.03
10/20/15,4:00:00,24.6,2.9,22,9.23,0,0,26.9,0.01
10/20/15,5:00:00,24.8,5.22,89,14.05,0,0,26.9,0.02
10/20/15,6:00:00,24.9,8.36,20,24.53,0,0,27,0.13
10/20/15,7:00:00,25.5,8.78,75,18.76,0,10,26.8,0.04
10/20/15,8:00:00,26.4,15.24,48,21.44,0.088,173,26.7,0
10/20/15,9:00:00,26.4,14.57,67,19.27,0.347,474,26.6,0
10/20/15,10:00:00,26,11.98,86,22.05,0.427,567,26.7,0
10/20/15,11:00:00,25.2,10.64,99,24.27,0.239,372,26.8,0.06
10/20/15,12:00:00,25.9,4.16,203,15.26,0.562,719,27,0
10/20/15,13:00:00,27.1,12.27,37,17.76,1.186,1366,27,0
10/20/15,14:00:00,27.1,13.44,26,19.55,0.592,742,27.5,0
10/20/15,15:00:00,27.1,14.96,27,19.27,0.397,538,27.6,0
10/20/15,16:00:00,27,16.43,23,20.47,0.642,780,27.5,0
10/20/15,17:00:00,26.9,16.18,24,20.19,0.263,373,27.2,0
10/20/15,18:00:00,26.7,15.15,28,18.96,0,39,27.2,0
10/20/15,19:00:00,26.6,14.88,29,19.2,0,0,27.2,0
10/20/15,20:00:00,26.4,14.26,28,18.81,0,0,27.1,0
10/20/15,21:00:00,26.3,13.62,28,17.82,0,0,27.1,0
10/20/15,22:00:00,26.2,12.86,30,16.75,0,0,27,0
10/20/15,23:00:00,26.2,11.93,31,15.43,0,0,26.9,0
10/20/15,24:00:00,26.2,12.21,21,16.59,0,0,26,0
10/21/15,1:00:00,25.5,11.65,23,21.09,0,0,25.8,0.01
10/21/15,2:00:00,25.6,8.62,36,12.69,0,0,25.8,0
10/21/15,3:00:00,26,8.22,40,13,0,0,25.8,0
10/21/15,4:00:00,25.5,7.46,52,14.05,0,0,26,0.05
10/21/15,5:00:00,25.6,8.98,45,14.64,0,0,26,0.01
10/21/15,6:00:00,24.5,2.09,224,7.06,0,0,25.9,0
10/21/15,7:00:00,25.1,2.29,73,8.5,0,8,26,0
10/21/15,8:00:00,25.9,5.66,52,9.97,0.121,196,26.3,0
10/21/15,9:00:00,26.8,10.83,55,15.91,0.554,671,26.4,0
10/21/15,10:00:00,27.1,8.85,55,12.87,0.823,958,26.2,0
10/21/15,11:00:00,27.1,8.94,40,13.2,0.922,1065,26.3,0
10/21/15,12:00:00,27,9.88,32,14.16,0.949,1100,26.5,0
10/21/15,13:00:00,26.8,11.19,20,14.53,0.554,709,26.7,0
10/21/15,14:00:00,26.7,11.18,18,14.69,0.506,655,26.9,0
10/21/15,15:00:00,26.7,11.09,5,15.02,0.288,427,27,0
10/21/15,16:00:00,26.5,9.62,352,12.3,0.121,243,27,0
10/21/15,17:00:00,26.7,9.52,355,13.61,0.085,190,27.1,0
10/21/15,18:00:00,26.4,7.64,6,11.6,0,38,27.1,0
10/21/15,19:00:00,26.8,7.48,30,11.24,0,0,27.1,0
10/21/15,20:00:00,26.5,8.33,35,18.26,0,0,27.1,0.01
10/21/15,21:00:00,26.6,7.85,40,12.34,0,0,27,0
10/21/15,22:00:00,26.7,8.34,47,12.41,0,0,27,0
10/21/15,23:00:00,26.6,8.06,48,11.11,0,0,26.9,0
10/21/15,24:00:00,26.6,7.66,53,11.31,0,0,26.8,0
10/22/15,1:00:00,26.6,7.75,42,11,0,0,26.7,0
10/22/15,2:00:00,26.6,7.86,43,11,0,0,26.5,0
10/22/15,3:00:00,26.5,6.26,42,9.62,0,0,26.7,0
10/22/15,4:00:00,26.4,7.33,48,10.48,0,0,26.6,0
10/22/15,5:00:00,26.4,7.02,31,11.22,0,0,26,0
10/22/15,6:00:00,26.2,6.19,31,9.38,0,0,26.2,0
10/22/15,7:00:00,26,5.77,16,8.75,0.003,15,26.7,0
10/22/15,8:00:00,26.6,6.57,29,10.19,0.18,261,26.9,0
10/22/15,9:00:00,26.7,9.45,22,11.81,0.414,530,27,0
10/22/15,10:00:00,26.5,9.85,24,13.22,0.379,515,27,0
10/22/15,11:00:00,26.5,10.61,11,14.77,0.752,896,27,0
10/22/15,12:00:00,26.6,11.35,360,15.21,0.719,870,27,0
10/22/15,13:00:00,26.9,11.27,18,15.26,1.01,1162,27.1,0
10/22/15,14:00:00,26.8,11.69,21,15.56,0.979,1134,27.1,0
10/22/15,15:00:00,26.6,12.54,20,16.26,0.33,467,27.2,0
10/22/15,16:00:00,26.6,10.94,21,15.48,0.246,367,27.2,0
10/22/15,17:00:00,26.7,10.57,37,14.71,0.08,178,27.2,0
10/22/15,18:00:00,26.7,10.39,67,13.98,0.009,57,27.2,0
10/22/15,19:00:00,26.6,8.11,34,11.4,0,0,27.3,0
10/22/15,20:00:00,26.6,8.16,27,11,0,0,27.2,0
10/22/15,21:00:00,26.5,9.2,18,11.77,0,0,27,0
10/22/15,22:00:00,26.4,10.16,24,14.25,0,0,26.9,0
10/22/15,23:00:00,26.1,11.95,19,16.33,0,0,26.5,0
10/22/15,24:00:00,26.1,12.52,12,15.85,0,0,26.3,0
10/23/15,1:00:00,26,12.34,10,16.86,0,0,26.6,0
10/23/15,2:00:00,25.8,11.5,12,16.44,0,0,26.7,0
10/23/15,3:00:00,25.5,7.7,14,10.83,0,0,26.9,0
10/23/15,4:00:00,25.4,7.05,14,9.14,0,0,26.9,0
10/23/15,5:00:00,25.4,7.42,8,9.97,0,0,26.5,0
10/23/15,6:00:00,25.5,8.91,350,12.36,0,0,26.2,0
10/23/15,7:00:00,25.4,9.3,347,12.38,0,10,26.5,0
10/23/15,8:00:00,25.7,9.5,348,13.09,0.172,252,25.2,0
10/23/15,9:00:00,25.9,8.38,353,11.88,0.553,667,25.4,0
10/23/15,10:00:00,25.9,7.39,350,10.68,0.832,973,25.6,0
10/23/15,11:00:00,25.9,7.96,347,10.52,1.082,1236,25.9,0
10/23/15,12:00:00,26,9.63,344,13.61,1.241,1403,26.1,0
10/23/15,13:00:00,26,10.07,344,13.22,1.254,1420,26.2,0
10/23/15,14:00:00,26,9.2,347,12.91,1.196,1358,26.6,0
10/23/15,15:00:00,26.1,11.02,349,15.89,0.973,1131,26.8,0
